test_type,idx,chinese_input,chinese_original,expected_gloss,predicted_gloss,exact_match,precision,recall,f1,ger,edit_distance,error_type,oov_tokens,transform,needs_semantic_mapping,source,seconds
paraphrase,18,我通常六點起床去上班，八點鐘到公司,我平常六點起床去上班，八點鐘抵達公司,我 平常 起床 六點 去 工作 到 那裡 八點,我 通常 起床 六點 去 工作 到 公司 八點,0,0.7778,0.7778,0.7778,0.2222,2,OOV/未知Gloss,通常,同義詞替換,False,train_paraphrased,5.11
paraphrase,19,你是不是在新北上班,你在新北上班嗎,你 新北 上班,你 新北 上班,1,1.0,1.0,1.0,0.0,0,正確,,句式轉換,False,train_paraphrased,6.0
paraphrase,20,每天出門前，我都會看手機上的天氣預報,我每天出門前都會看手機的天氣預報,每天 我 出門 前 天氣 預報 手機 手機+滑手機 會!,每天 出門 前 天氣 預報 手機 手機+滑手機 會,0,0.875,0.7778,0.8235,0.2222,2,Gloss替換錯誤,,語序調整,False,train_paraphrased,5.42
paraphrase,21,明天我不去蘭嶼,我明天不去蘭嶼,明天 我 蘭嶼 去 不,明天 我 蘭嶼 去 不,1,1.0,1.0,1.0,0.0,0,正確,,語序調整,False,train_paraphrased,5.37
paraphrase,22,所以自己要提高警覺，萬一不小心就會有危險發生,所以自己要提高警覺萬一疏忽了就會發生危險,自己 警覺 要 萬一 不小心 危險 發生 會,自己 警覺 要 萬一 危險 發生 不小心 會,0,1.0,1.0,1.0,0.25,2,語序錯誤,,同義詞替換,False,train_paraphrased,5.93
paraphrase,23,我年輕的時候在公司工作或開會，以前都沒有手語翻譯,以前我年輕的時候在公司工作或開會都沒有手語翻譯,我 以前 年輕 公司 工作 會議 任何 手語翻譯 沒有,我 年輕 公司 工作 會議 以前 手語翻譯 沒有,0,1.0,0.8889,0.9412,0.2222,2,Gloss替換錯誤,,語序調整,False,train_paraphrased,6.09
paraphrase,24,例如聽人在團體討論的時候，習慣常常插話,例如聽人習慣在團體討論時常常插話,像 聽人 習慣 團體 討論 常常 插話++,像 聽人 團體 討論 習慣 什麼 插話++,0,0.8571,0.8571,0.8571,0.4286,3,Gloss替換錯誤,,語序調整,False,train_paraphrased,5.9
paraphrase,25,我看他們滔滔不絕地談論，感到非常新奇,看他們滔滔不絕地談論讓我感到非常新奇,演講 滔滔不絕 我 見 好奇,我 看 他們 滔滔不絕 談論 覺得 新奇,0,0.2857,0.4,0.3333,1.2,6,OOV/未知Gloss,新奇,語序調整,False,train_paraphrased,6.01
paraphrase,26,跟竹筷比起來，鐵筷還要更環保,鐵筷比竹筷還要環保,竹 筷子 鐵 筷子 比較 這 環保 棒 贏,竹子 筷子 鐵 筷子 比較 這 環保 棒,0,0.875,0.7778,0.8235,0.2222,2,Gloss替換錯誤,,句式轉換,False,train_paraphrased,5.35
paraphrase,27,政府應該要有計畫地宣導,政府應該要有計畫宣導,政府 規劃 宣導 要,政府 計畫 宣導 要,0,0.75,0.75,0.75,0.25,1,Gloss替換錯誤,,虛詞增減,False,train_paraphrased,4.68
paraphrase,28,要三個單位合作，才能申辦比賽,三個單位合作才能申辦比賽,第二 臺北市政府 要 同意 中華民國 體育 要 同意 共三個 這三個 配合 可以 來 申請 比賽,這 三個 合作 要 申請 比賽,0,0.5,0.2,0.2857,0.8,12,OOV/未知Gloss,合作,句式轉換,False,train_paraphrased,4.88
paraphrase,29,你要去蘭嶼嗎,你是不是要去蘭嶼,你 去 蘭嶼 要,你 去 蘭嶼 要,1,1.0,1.0,1.0,0.0,0,正確,,句式轉換,False,train_paraphrased,6.41
paraphrase,30,她急著趕去醫院上班,她趕著去醫院上班,她 急 去 醫院 上班,她 急 去 醫院 上班,1,1.0,1.0,1.0,0.0,0,正確,,虛詞增減,False,train_paraphrased,4.55
paraphrase,31,這座城市非常漂亮,這座城市很漂亮,這 城 四周 美 美,這 城 四周 美麗,0,0.75,0.6,0.6667,0.4,2,Gloss替換錯誤,,同義詞替換,False,train_paraphrased,4.46
paraphrase,32,她主要負責的是提供諮詢服務、幫助老人和身心障礙者掛號、推送輪椅，還有陪同就醫等等,她主要負責提供諮詢服務、幫助老人和身心障礙者掛號、推送輪椅，還有陪同就醫等,她 主要 負責 第一 問答 服務 第二 幫++ 老人 身心障礙 掛號 第三 輪椅 推 第四 陪伴 就醫 種類,她 主要 負責 第一 問答 服務 第二 幫++ 老人 身心障礙者 掛號 第三 輪椅 推 第四 陪伴 就醫 種類,0,0.9444,0.9444,0.9444,0.0556,1,Gloss替換錯誤,,語序調整,False,train_paraphrased,6.69
paraphrase,33,公園裡面的氣氛很熱鬧,公園裡氣氛熱鬧,公園 看見 熱鬧,公園 裡面 熱鬧,0,0.6667,0.6667,0.6667,0.3333,1,Gloss替換錯誤,,虛詞增減,False,train_paraphrased,4.46
paraphrase,34,我的反應可能比較慢,我反應可能比較慢,我 思考 可能 慢,我 想 可能 慢,0,0.75,0.75,0.75,0.25,1,Gloss替換錯誤,,虛詞增減,False,train_paraphrased,4.37
paraphrase,35,上個月有收到簡訊，說我的刷卡有異常,上個月收到簡訊說我的刷卡有異常,一個月前 收到簡訊 開畫面+手機 告訴 刷卡 不對,上個月 收到簡訊 告訴 刷卡 不對,0,0.8,0.6667,0.7273,0.3333,2,Gloss替換錯誤,,語序調整,False,train_paraphrased,6.0
paraphrase,36,爬山也好、走路也好、運動也好，開心就好,不論是爬山、走路或運動，開心就好,例如 爬山 走 運動 開心 棒,去 爬山 走 運動 任何 快樂,0,0.5,0.5,0.5,0.5,3,Gloss替換錯誤,,句式轉換,False,train_paraphrased,5.0
paraphrase,37,明天我要去嘉義,我明天要去嘉義,明天 我 去 嘉義 要,明天 我 去 嘉義 要,1,1.0,1.0,1.0,0.0,0,正確,,語序調整,False,train_paraphrased,4.66
paraphrase,38,例如：消防車或警車遇到緊急狀況，都會發出警笛聲提醒周遭的人注意,例如：消防車或警車遇到緊急事件都會發出警笛聲提醒週遭的人注意,例如 消防車 警車 遇到 緊急 事情 會 大響 告訴 周遭 民眾 注意,例如 消防車 警車 他們 遇到 緊急 事情 會 大響 告訴 周遭 民眾 注意,0,0.9231,1.0,0.96,0.0833,1,多餘Gloss,,同義詞替換,True,train_paraphrased,5.91
paraphrase,39,我說的話，他完全聽不懂,他完全聽不懂我說的話,我 說 我 演講 告訴 他 全部 一竅不通 不知道,我 說 他 聽 一竅不通,0,0.8,0.4444,0.5714,0.5556,5,漏Gloss,,語序調整,False,train_paraphrased,5.64
paraphrase,40,一輛機車要價五萬，很貴,一台機車要價五萬，很貴,機車 一 五萬 貴,機車 一 五萬 貴,1,1.0,1.0,1.0,0.0,0,正確,,同義詞替換,False,train_paraphrased,4.58
paraphrase,41,沒有問題是解決不了的,沒有解決不了的問題,問題 一筆勾銷 難 沒有,問題 什麼 沒有 解決 不能,0,0.4,0.5,0.4444,1.0,4,Gloss替換錯誤,,句式轉換,False,train_paraphrased,4.96
paraphrase,42,煎蛋、炒飯、燉湯等等都會,會煎蛋、炒飯、燉湯等等,蛋 煎 飯 炒 湯 煮 等等 會,蛋 煎 飯 炒 湯 煮 等等 會,1,1.0,1.0,1.0,0.0,0,正確,,語序調整,False,train_paraphrased,5.05
paraphrase,43,這種食物很好消化，適合給老人吃,這種食物容易消化，適合老人吃,這 東西 吃 消化 簡單 這 老人 老 吃 適合 這,這 東西 吃 消化 簡單 這 老人 老 吃 適合,0,1.0,0.9091,0.9524,0.0909,1,漏Gloss,,同義詞替換,False,train_paraphrased,5.1
paraphrase,44,我也跟你一樣，聾人面對面聊天比較好，也比較過癮,我跟你一樣啊，聾人面對面聊天比較好，也比較過癮,表情(點頭微笑) 一樣 聾人 面對面 聊天 這 棒 聊天 過癮,我 一樣 聾人 面對面 聊天 棒 聊天 過癮,0,0.875,0.7778,0.8235,0.2222,2,Gloss替換錯誤,,同義詞替換,False,train_paraphrased,5.36
paraphrase,45,有啊，醫生開了兩種眼藥水,有，醫生開了兩種眼藥水,有 醫生 給 眼藥水 二,有 醫生 給 眼藥水 二,1,1.0,1.0,1.0,0.0,0,正確,,虛詞增減,False,train_paraphrased,4.58
paraphrase,46,要不是台南這兩位老師教我書法和國畫,如果沒有台南這兩位老師教我書法和國畫,如果 這 台南 老師 兩個 書法 國畫 沒有 教,如果 臺南 老師 兩個 書法 國畫 教 沒有,0,0.875,0.7778,0.8235,0.4444,4,Gloss替換錯誤,,句式轉換,True,train_paraphrased,5.81
paraphrase,47,那你知道在網路上購物的缺點有哪些嗎,那你知道網路購物的缺點有哪些嗎,但是 這 網路 東西 買++ 不好 有 什麼 知道,但是 這 網路 東西 買++ 不好 有 什麼 知道,1,1.0,1.0,1.0,0.0,0,正確,,語序調整,False,train_paraphrased,5.64
paraphrase,48,聾人不喜歡這樣，因為聾人文化本來就是以視覺為主,聾人不喜歡這樣因為聾人文化是以視覺為主,他 聾人 習慣 不喜歡 這 為什麼 聾人文化 原本 眼睛 主要,他 聾人 他們 習慣 不喜歡 這 為什麼 聾人文化 原本 眼睛 主要,0,0.9091,1.0,0.9524,0.1,1,多餘Gloss,,語序調整,False,train_paraphrased,6.12
paraphrase,49,一開始會不會一直跌倒,剛開始會不會一直跌倒,剛剛 開始 跌倒++ 會 不會,開始 跌倒 一生 跌倒 不會,0,0.4,0.4,0.4,0.8,4,Gloss替換錯誤,,同義詞替換,True,train_paraphrased,5.5
paraphrase,50,這樣才能保護好自己的個人資料，還有房子、土地、財產等等的安全,這樣才能保護好自己的個資和房子.土地.財產等等的安全,這 自己 個人 資料 再 財產 保護 能,我 個人 資料 再 房子 土地 財產 各式各樣 保護 能,0,0.6,0.75,0.6667,0.625,5,OOV/未知Gloss,土地,虛詞增減,False,train_paraphrased,5.28
paraphrase,51,現在的年輕人真的很有禮貌,現在年輕人真的很有禮貌,現在 年輕人 你們 禮貌 有 棒,現在 年輕 人 他們 禮貌 棒,0,0.5,0.5,0.5,0.6667,4,Gloss替換錯誤,,虛詞增減,False,train_paraphrased,4.96
paraphrase,52,明天你是不是要去台中,你明天要去台中嗎,明天 你 去 台中 要,明天 你 去 台中 要,1,1.0,1.0,1.0,0.0,0,正確,,句式轉換,False,train_paraphrased,6.22
paraphrase,53,新制現在每五年就要檢查一次，很複雜,現在的新制每五年就要檢查一次很複雜,現在 新制 每五年 檢查 複雜,現在 新制 每五年 檢查 一次 複雜,0,0.8333,1.0,0.9091,0.2,1,多餘Gloss,,語序調整,False,train_paraphrased,4.93
paraphrase,54,抵達花蓮火車站之後可以租車,到花蓮火車站之後可以租車,花蓮 火車站 到 之後 汽車 租借 可以,花蓮 火車站 抵達 之後 汽車 租借 可以,0,0.8571,0.8571,0.8571,0.1429,1,Gloss替換錯誤,,同義詞替換,True,train_paraphrased,5.23
paraphrase,55,不過我並不在意,但我並不在意,但是 我 不在意 沒關係,我 不在意,0,1.0,0.5,0.6667,0.5,2,漏Gloss,,同義詞替換,True,train_paraphrased,4.96
paraphrase,56,這樣一來，兒子和妻子就不會沮喪,這樣兒子和妻子不會沮喪,兒子 妻子 他們倆人 沮喪 不,兒子 妻子 他們 沮喪 不會,0,0.6,0.6,0.6,0.4,2,Gloss替換錯誤,,語序調整,False,train_paraphrased,5.44
paraphrase,57,來回總共要18公里,來回就要18公里,來回 合計 十八公里,來回 總共 十八公里,0,0.6667,0.6667,0.6667,0.3333,1,OOV/未知Gloss,總共,同義詞替換,False,train_paraphrased,4.74
paraphrase,58,感到很焦慮,感到非常焦慮,感到 焦慮,焦慮,0,1.0,0.5,0.6667,0.5,1,漏Gloss,,虛詞增減,False,train_paraphrased,4.27
paraphrase,59,我不曾上網買過東西,我從來沒有上網買過東西,我 網路 東西 訂 不曾,我 網路 東西 買 從來沒有,0,0.6,0.6,0.6,0.4,2,Gloss替換錯誤,,句式轉換,False,train_paraphrased,5.59
paraphrase,60,他到就業服務中心登記之後,他在就業服務中心登記後,工作 服務 處 他 登記 之後,他 去 就業服務 處 登記 完,0,0.5,0.5,0.5,0.8333,5,OOV/未知Gloss,就業服務,虛詞增減,False,train_paraphrased,4.8
paraphrase,61,我朋友和她先生兩個人都要上班，沒有辦法照顧,我朋友跟她先生兩個人都要上班，沒有辦法照顧,我 朋友 先生 兩個人 上班 要 照顧 沒辦法,我 朋友 先生 兩個人 上班 要 照顧 沒辦法,1,1.0,1.0,1.0,0.0,0,正確,,同義詞替換,False,train_paraphrased,5.95
paraphrase,62,九點前常常就有很多人在排隊,常常九點前就有很多人在排隊,常常 九點 之前 人 大排長龍,九點 之前 人 多 排隊 常常,0,0.6667,0.8,0.7273,0.8,4,多餘Gloss,,語序調整,False,train_paraphrased,5.03
paraphrase,63,你知道那時候希臘也想要爭取,你知道當時希臘也想要爭取,你 知道 這 時候 什麼 那 希臘 要 爭取,你 知道 這 時候 希臘 要 爭取,0,1.0,0.7778,0.875,0.2222,2,漏Gloss,,同義詞替換,False,train_paraphrased,5.06
paraphrase,64,這件事讓我感到非常感動,這讓我感到非常感動,我 感動 有,這 事情 感動,0,0.3333,0.3333,0.3333,1.0,3,Gloss替換錯誤,,虛詞增減,False,train_paraphrased,4.35
paraphrase,65,下次爬山我最好穿著彈性好、又能止滑的登山鞋,我下次爬山最好穿著彈性好且具有止滑的登山鞋,我 下次 去 爬 山 穿鞋 這 棒 強 彈性 滑倒 不會,下次 去 爬 山 我 穿鞋 這 棒 強 彈性 滑倒 不會,0,1.0,1.0,1.0,0.1667,2,語序錯誤,,語序調整,False,train_paraphrased,6.21
paraphrase,66,抱歉！明天我沒辦法陪你去健身房運動了,抱歉！我明天沒辦法陪你去健身房運動了,抱歉 我 明天 陪 去 健身房 運動 沒辦法,抱歉 明天 我 陪 去 健身房 運動 沒辦法,0,1.0,1.0,1.0,0.25,2,語序錯誤,,語序調整,False,train_paraphrased,6.02
paraphrase,67,每天都可以申請手譯員嗎,可以每天都申請手譯員嗎,每天 手語翻譯 申請 可以,每天 手語翻譯 申請 可以,1,1.0,1.0,1.0,0.0,0,正確,,語序調整,False,train_paraphrased,5.4
paraphrase,68,買賣東西的人把集市擠滿了,集市擠滿了買賣東西的人,買賣 地方 人 擠 買 賣 東西 賣,東西 買賣 人 擠 買賣 地方,0,0.8333,0.625,0.7143,0.75,6,Gloss替換錯誤,,句式轉換,False,train_paraphrased,4.88
paraphrase,69,他的作文我覺得寫得不錯,我覺得他作文寫得不錯,什麼 我 覺得 他 作文 不錯,他 作文 我 覺得 不錯,0,1.0,0.8333,0.9091,0.6667,4,漏Gloss,,語序調整,False,train_paraphrased,5.27
paraphrase,70,我的學校會裝二種燈，上課亮紅燈，下課亮綠燈,我學校會裝二種燈，上課亮紅燈，下課亮綠燈,學校 加 燈 二 上課 紅燈亮 下課 綠燈亮,我 學校 燈 二 上課 紅燈亮 下課 綠燈亮,0,0.875,0.875,0.875,0.25,2,Gloss替換錯誤,,虛詞增減,False,train_paraphrased,5.44
paraphrase,71,我也跟著回頭去看,我也跟著回頭看,我 一樣 回頭看,我 一樣 回頭,0,0.6667,0.6667,0.6667,0.3333,1,OOV/未知Gloss,回頭,虛詞增減,False,train_paraphrased,4.44
paraphrase,72,明天我要去台中,我明天要去台中,明天 我 去 台中 要,明天 我 去 台中 要,1,1.0,1.0,1.0,0.0,0,正確,,語序調整,False,train_paraphrased,4.45
paraphrase,73,今天我不去新竹,我今天不去新竹,今天 我 新竹 去 不,今天 我 新竹 去 不,1,1.0,1.0,1.0,0.0,0,正確,,語序調整,False,train_paraphrased,5.27
paraphrase,74,大女兒的個性活潑外向，不怕生,大女兒活潑外向不怕生,不一樣 大女兒 個性 活潑 碰到 陌生 不怕,大女兒 個性 活潑 外向 不怕生,0,0.6,0.4286,0.5,0.5714,4,OOV/未知Gloss,外向 不怕生,虛詞增減,False,train_paraphrased,5.75
paraphrase,75,我想跟你講也沒有用,我想跟你講沒有用,我 想 告訴 沒有用 算了,我 想 告訴 你 沒用,0,0.6,0.6,0.6,0.4,2,OOV/未知Gloss,沒用,虛詞增減,False,train_paraphrased,5.35
paraphrase,76,老師也感到非常開心,老師也感到很開心,老師 開心,老師 他 開心,0,0.6667,1.0,0.8,0.5,1,多餘Gloss,,虛詞增減,False,train_paraphrased,4.29
paraphrase,77,應該要如何求救呢,該如何求救呢,我 呼叫 幫 如何,求救 如何,0,0.5,0.25,0.3333,0.75,3,OOV/未知Gloss,求救,同義詞替換,False,train_paraphrased,4.28
paraphrase,78,什麼口味的水餃你想吃,你想吃什麼口味的水餃,水餃 口味 你 想 吃,水餃 口味 你 想 吃,1,1.0,1.0,1.0,0.0,0,正確,,語序調整,False,train_paraphrased,5.05
paraphrase,79,可以做為證據來保護自己,可做為證據保護自己,可以 拿出證據 保護 自己,證據 可以 保護 自己,0,0.75,0.75,0.75,0.5,2,Gloss替換錯誤,,虛詞增減,False,train_paraphrased,4.28
paraphrase,80,你要去板橋嗎,你是不是要去板橋,你 去 板橋 要,你 去 板橋 要,1,1.0,1.0,1.0,0.0,0,正確,,句式轉換,False,train_paraphrased,6.21
paraphrase,81,他拉著我過去,他把我拉過去,他 拉我,他 拉我,1,1.0,1.0,1.0,0.0,0,正確,,句式轉換,False,train_paraphrased,4.26
paraphrase,82,後來王曉書有教過我,後來王曉書有指導我,之後 她 書 她 教 有,後來 王曉書 教過,0,0.0,0.0,0.0,1.0,6,完全錯誤,,同義詞替換,False,train_paraphrased,4.53
paraphrase,83,接下來的時間，由評審老師發問,接下來的時間由評審老師提問,接下來 時間 剩下 負責給 評審 老師 問++ 我 回答++,接下來 時間 剩下 負責給 評審 老師 問++,0,1.0,0.7778,0.875,0.2222,2,漏Gloss,,同義詞替換,False,train_paraphrased,5.06
paraphrase,84,然後去安親班接小孩回家煮飯,再去安親班接小孩回家煮飯,去 安親班 孩子 帶回 回家 煮飯,去 安親班 孩子 帶回 回家 煮飯,1,1.0,1.0,1.0,0.0,0,正確,,同義詞替換,False,train_paraphrased,5.1
paraphrase,85,兒子和妻子這樣就不會沮喪了,這樣兒子和妻子不會沮喪,兒子 妻子 他們倆人 沮喪 不,兒子 妻子 他們 沮喪 不會,0,0.6,0.6,0.6,0.4,2,Gloss替換錯誤,,語序調整,False,train_paraphrased,5.41
paraphrase,86,我們一起把積水潑出去好幾次，水就開始退了,我們合力將積水潑出去好幾次，水開始退了,我們 一起 潑水++ 退水++,我們 一起 潑水 退水,0,0.5,0.5,0.5,0.5,2,OOV/未知Gloss,退水,句式轉換,False,train_paraphrased,4.65
paraphrase,87,太好了！你可以用LINE把網址傳給我嗎？謝謝你,太好了！你可以把網址傳LINE給我嗎？謝謝你,表情 棒 這 網址 你 Line給我 可以 謝謝(你),表情 棒 你 Line 網址給我 可以 謝謝(你),0,0.7143,0.625,0.6667,0.5,4,OOV/未知Gloss,網址給我,語序調整,False,train_paraphrased,6.25
paraphrase,88,看一眼就很清楚了,一看就很清楚,見 清楚 棒,看 清楚,0,0.5,0.3333,0.4,0.6667,2,Gloss替換錯誤,,虛詞增減,False,train_paraphrased,4.15
paraphrase,89,排隊停車和找尋路線的辛苦，我覺得都值得了,我覺得排隊停車和找尋路線的辛苦都值得了,我 覺得 停車++ 塞車 排隊 等候 再 路線 尋找 辛苦 但是 棒,我 覺得 停車++ 塞車++ 再 路線 尋找 辛苦 但是 棒,0,0.9,0.75,0.8182,0.25,3,OOV/未知Gloss,塞車++,語序調整,False,train_paraphrased,5.57
paraphrase,90,這樣就可以加薪了,這樣可以加薪,加薪 會,加薪 可以,0,0.5,0.5,0.5,0.5,1,Gloss替換錯誤,,虛詞增減,False,train_paraphrased,4.32
paraphrase,91,我要去圖書館，坐計程車,我要坐計程車去圖書館,我 計程車 坐車 去 圖書館 要,我 去 圖書館 計程車 坐車 要,0,1.0,1.0,1.0,0.6667,4,語序錯誤,,語序調整,False,train_paraphrased,4.84
paraphrase,92,吃得健康，對身體比較好,吃得健康，對身體好,吃 健康 對 身體 好,吃++ 健康 對 身體 棒,0,0.6,0.6,0.6,0.4,2,Gloss替換錯誤,,虛詞增減,False,train_paraphrased,4.65
paraphrase,93,弟弟喜歡把盤子收集起來,弟弟喜歡收集盤子,盤子 弟弟 喜歡 收集 喜歡,盤子 弟弟 喜歡 收集,0,1.0,0.8,0.8889,0.2,1,漏Gloss,,句式轉換,False,train_paraphrased,4.63
paraphrase,94,如果有時間的話，可以去圖書館借書來看,如果有時間可以去圖書館借書來看,如果 有 時間 可以 跑 去 圖書 借 觀賞,如果 時間 有 去 圖書館 書 借 觀賞 可以,0,0.7778,0.7778,0.7778,0.6667,6,Gloss替換錯誤,,虛詞增減,False,train_paraphrased,5.02
paraphrase,95,公司說工作是輪二班制，就是一個月上日班，一個月上晚班，主要工作是負責品管,公司說工作是輪二班制，也就是一個月上日班，一個月上晚班，主要工作是負責品管,介紹 那 工作 情形 二輪制 白天 晚上 工作 輪流 一個月++ 工作 內容 品管,公司 告訴 工作 情形 二輪制 白天 晚上 工作 輪流 一個月++++++++ 主要 工作 負責 品管,0,0.6429,0.6923,0.6667,0.3846,5,OOV/未知Gloss,一個月++++++++,同義詞替換,False,train_paraphrased,6.79
paraphrase,96,你今天是不是要去西門町,今天你要去西門町嗎,今天 你 去 西門町 要,今天 你 去 西門町 要,1,1.0,1.0,1.0,0.0,0,正確,,句式轉換,False,train_paraphrased,6.4
paraphrase,97,我會好好地跟他解釋，例如手形、位置、手掌方向和動作等等,我會好好的跟他說明，例如手形、位置、手掌方向和動作等,像 例如 手形 位置 掌心方向 動作 種種 我 解釋 會,像 例如 手形 位置 掌心方向 動作 種種 我 解釋 會,1,1.0,1.0,1.0,0.0,0,正確,,同義詞替換,False,train_paraphrased,5.26
paraphrase,98,我拿著導覽手冊，一邊觀賞館內的收藏,我一邊拿著導覽手冊一邊觀賞館內收藏,館內 收藏 東西 導覽手冊 我 導覽手冊+看 觀賞++,我 拿 導覽手冊 導覽 欣賞 收藏,0,0.5,0.4286,0.4615,0.8571,6,Gloss替換錯誤,,語序調整,False,train_paraphrased,5.13
paraphrase,99,前幾天我在喝水、吃東西的時候，覺得牙齒很痛耶,前幾天我喝水、吃東西的時候覺得牙齒很痛耶,前幾天 東西 吃 水 喝 牙齒 痛,前幾天 東西 吃 水 喝 牙齒 痛,1,1.0,1.0,1.0,0.0,0,正確,,語序調整,False,train_paraphrased,5.29
paraphrase,100,後來每次放學回家，我都會偷偷跑到家裡附近的漫畫店租漫畫來看,後來每次放學回家，我都會偷偷跑到家附近的漫畫店租漫畫來看,每次 放學 回家 偷偷 去 家 近 漫畫店 書 租 看,每次 放學 回家 偷偷 去 家 近 漫畫店 書 租 看,1,1.0,1.0,1.0,0.0,0,正確,,虛詞增減,False,train_paraphrased,5.29
